dataset,comparison,subset,metric,n,delta,ci_low,ci_high,wins,losses,ties,sign_p
CRONQUESTION,Full - no_memory,constraint_sensitive,answer_f1,276,0.2946859903381642,0.23309178743961356,0.35507246376811596,90,8,178,1.0875246615051457e-18
CRONQUESTION,Full - no_memory,constraint_sensitive,answer_exact_match,276,0.2971014492753623,0.23550724637681159,0.358695652173913,90,8,178,1.0875246615051457e-18
CRONQUESTION,Full - vanilla_rag,constraint_sensitive,answer_f1,276,0.33061787956289235,0.2755438011831874,0.3852162933684673,154,8,114,3.5593456271429425e-36
CRONQUESTION,Full - vanilla_rag,constraint_sensitive,answer_exact_match,276,0.532608695652174,0.4673913043478261,0.5978260869565217,154,7,115,3.4918388675773617e-37
CRONQUESTION,Full - relation_only,constraint_sensitive,answer_f1,276,0.10869565217391304,0.06159420289855073,0.15579710144927536,38,8,230,9.24769992138863e-06
CRONQUESTION,Full - relation_only,constraint_sensitive,answer_exact_match,276,0.10869565217391304,0.06159420289855073,0.15579710144927536,38,8,230,9.24769992138863e-06
MULTITQ,Full - no_memory,constraint_sensitive,answer_f1,675,0.07762257495590828,0.034123456790123456,0.12165079365079365,177,114,384,0.00026488196748466726
MULTITQ,Full - no_memory,constraint_sensitive,answer_exact_match,675,0.0874074074074074,0.044444444444444446,0.13185185185185186,148,89,438,0.00015347868332257165
MULTITQ,Full - vanilla_rag,constraint_sensitive,answer_f1,675,0.03659611992945326,-0.008853615520282184,0.08058553791887126,164,143,368,0.25363986263132515
MULTITQ,Full - vanilla_rag,constraint_sensitive,answer_exact_match,675,0.04296296296296296,-0.0044444444444444444,0.08888888888888889,139,110,426,0.0757811947719517
MULTITQ,Full - relation_only,constraint_sensitive,answer_f1,675,0.09643738977072311,0.05414462081128747,0.14016931216931217,172,101,402,2.052979581728978e-05
MULTITQ,Full - relation_only,constraint_sensitive,answer_exact_match,675,0.09185185185185185,0.05037037037037037,0.1348148148148148,140,78,457,3.216566101907121e-05
