dataset,comparison,metric,n,delta,ci_low,ci_high,wins,losses,ties,sign_p
CRONQUESTION,Full - no_memory,tis_exact_match,972,-0.07921810699588477,-0.09876543209876543,-0.059670781893004114,12,89,871,1.0827214347884686e-15
CRONQUESTION,Full - no_memory,answer_exact_match,972,0.31790123456790126,0.28189300411522633,0.35288065843621397,357,48,567,1.7792164642035657e-59
CRONQUESTION,Full - no_memory,answer_f1,972,0.29818652426677117,0.26306747664772356,0.33278790254098894,357,56,559,9.84689106559041e-55
CRONQUESTION,Full - vanilla_rag,tis_exact_match,972,-0.033950617283950615,-0.050411522633744855,-0.018518518518518517,15,48,909,3.760612132541752e-05
CRONQUESTION,Full - vanilla_rag,answer_exact_match,972,0.31995884773662553,0.28703703703703703,0.35185185185185186,335,24,613,2.8279634693435377e-71
CRONQUESTION,Full - vanilla_rag,answer_f1,972,0.2400503695776323,0.21097608213621286,0.2684612458767477,335,45,592,6.395419428798015e-56
CRONQUESTION,Full - relation_only,tis_exact_match,972,0.00411522633744856,-0.00411522633744856,0.013374485596707819,11,7,954,0.480682373046875
CRONQUESTION,Full - relation_only,answer_exact_match,972,0.0360082304526749,0.018518518518518517,0.053497942386831275,57,22,893,0.00010259635179423315
CRONQUESTION,Full - relation_only,answer_f1,972,0.0360082304526749,0.018518518518518517,0.053497942386831275,57,22,893,0.00010259635179423315
MULTITQ,Full - no_memory,tis_exact_match,1000,-0.089,-0.118,-0.061,64,153,783,1.3733788834334923e-09
MULTITQ,Full - no_memory,answer_exact_match,1000,0.079,0.046,0.112,184,105,711,3.921697906670685e-06
MULTITQ,Full - no_memory,answer_f1,1000,0.07222857142857143,0.03959523809523809,0.1053047619047619,215,132,653,9.787213360773198e-06
MULTITQ,Full - vanilla_rag,tis_exact_match,1000,0.059,0.035,0.083,105,46,849,1.7652188292896824e-06
MULTITQ,Full - vanilla_rag,answer_exact_match,1000,0.08,0.044,0.116,211,131,658,1.785603099042519e-05
MULTITQ,Full - vanilla_rag,answer_f1,1000,0.07510238095238095,0.03986666666666667,0.11014047619047619,238,169,593,0.0007305278439012408
MULTITQ,Full - relation_only,tis_exact_match,1000,-0.027,-0.051,-0.003,61,88,851,0.032821830697569845
MULTITQ,Full - relation_only,answer_exact_match,1000,0.075,0.042,0.107,178,103,719,9.025130826116957e-06
MULTITQ,Full - relation_only,answer_f1,1000,0.0780952380952381,0.04481904761904762,0.11108095238095238,213,129,658,6.497439372965457e-06
