dataset,variant,comparison,metric,n,delta,ci_low,ci_high,wins,losses,ties,sign_p
CRONQUESTION,no_temporal_rule,Variant - Full (matched),operator_correct,298,0.013422818791946308,-0.006711409395973154,0.03355704697986577,7,3,288,0.34375
CRONQUESTION,no_temporal_rule,Variant - Full (matched),slot_correct,298,0.010067114093959731,-0.013422818791946308,0.03355704697986577,8,5,285,0.5810546875
CRONQUESTION,no_temporal_rule,Variant - Full (matched),reference_correct,298,-0.010067114093959731,-0.02348993288590604,0.0,0,3,295,0.25
CRONQUESTION,no_temporal_rule,Variant - Full (matched),tis_exact_match,298,0.010067114093959731,-0.006711409395973154,0.026845637583892617,5,2,291,0.453125
CRONQUESTION,no_temporal_rule,Variant - Full (matched),answer_exact_match,298,-0.013422818791946308,-0.030201342281879196,0.003355704697986577,1,5,292,0.21875
CRONQUESTION,no_temporal_rule,Variant - Full (matched),answer_f1,298,-0.013422818791946308,-0.030201342281879196,0.003355704697986577,1,5,292,0.21875
CRONQUESTION,no_temporal_rule,Variant - Full (matched),unsupported,298,0.0,-0.010067114093959731,0.010067114093959731,1,1,296,1.0
CRONQUESTION,no_leakage_check,Variant - Full (matched),operator_correct,298,-0.006711409395973154,-0.026845637583892617,0.013422818791946308,4,6,288,0.75390625
CRONQUESTION,no_leakage_check,Variant - Full (matched),slot_correct,298,-0.010067114093959731,-0.03355704697986577,0.013422818791946308,5,8,285,0.5810546875
CRONQUESTION,no_leakage_check,Variant - Full (matched),reference_correct,298,-0.006711409395973154,-0.016778523489932886,0.0,0,2,296,0.5
CRONQUESTION,no_leakage_check,Variant - Full (matched),tis_exact_match,298,0.0,-0.013422818791946308,0.013422818791946308,2,2,294,1.0
CRONQUESTION,no_leakage_check,Variant - Full (matched),answer_exact_match,298,-0.020134228187919462,-0.0436241610738255,0.003355704697986577,3,9,286,0.14599609375
CRONQUESTION,no_leakage_check,Variant - Full (matched),answer_f1,298,-0.020134228187919462,-0.0436241610738255,0.003355704697986577,3,9,286,0.14599609375
CRONQUESTION,no_leakage_check,Variant - Full (matched),unsupported,298,0.006711409395973154,-0.006711409395973154,0.020134228187919462,3,1,294,0.625
CRONQUESTION,no_draft_filtering,Variant - Full (matched),operator_correct,298,-0.013422818791946308,-0.03355704697986577,0.003355704697986577,2,6,290,0.2890625
CRONQUESTION,no_draft_filtering,Variant - Full (matched),slot_correct,298,-0.003355704697986577,-0.026845637583892617,0.020134228187919462,6,7,285,1.0
CRONQUESTION,no_draft_filtering,Variant - Full (matched),reference_correct,298,-0.003355704697986577,-0.016778523489932886,0.006711409395973154,1,2,295,1.0
CRONQUESTION,no_draft_filtering,Variant - Full (matched),tis_exact_match,298,0.003355704697986577,-0.010067114093959731,0.020134228187919462,3,2,293,1.0
CRONQUESTION,no_draft_filtering,Variant - Full (matched),answer_exact_match,298,-0.010067114093959731,-0.026845637583892617,0.006711409395973154,2,5,291,0.453125
CRONQUESTION,no_draft_filtering,Variant - Full (matched),answer_f1,298,-0.010067114093959731,-0.026845637583892617,0.006711409395973154,2,5,291,0.453125
CRONQUESTION,no_draft_filtering,Variant - Full (matched),unsupported,298,0.006711409395973154,-0.006711409395973154,0.020134228187919462,3,1,294,0.625
